날짜,종가
2019-01,2101.984090909091
2019-02,2210.1988235294116
2019-03,2161.9145
2019-04,2212.120454545455
2019-05,2086.8980952380953
2019-06,2105.303157894737
2019-07,2079.48
2019-08,1944.2376190476189
2019-09,2045.2052631578947
2019-10,2065.747619047619
2019-11,2128.794761904762
2019-12,2147.0135
2020-01,2203.4425
2020-02,2167.1235
2020-03,1786.7463636363636
2020-04,1849.589
2020-05,1965.1742105263156
2020-06,2134.6968181818183
2020-07,2195.9486956521737
2020-08,2349.873
2020-09,2371.5161904761903
2020-10,2357.821052631579
2020-11,2504.1809523809525
2020-12,2755.7709523809526
2021-01,3089.267
2021-02,3092.411666666667
2021-03,3032.4690909090914
2021-04,3165.083181818182
2021-05,3169.2005263157894
2021-06,3259.14
2021-07,3254.5731818181816
2021-08,3182.5009523809526
2021-09,3141.6994736842107
2021-10,2989.873157894737
2021-11,2964.3018181818184
2021-12,2988.4940909090906
2022-01,2865.552
2022-02,2724.0150000000003
2022-03,2698.7161904761906
2022-04,2703.2428571428572
2022-05,2628.3385714285714
2022-06,2474.9485
