"시도별","시점",데이터
"전국","2019.01",98.884
"전국","2019.02",99.311
"전국","2019.03",99.121
"전국","2019.04",99.481
"전국","2019.05",99.652
"전국","2019.06",99.491
"전국","2019.07",99.187
"전국","2019.08",99.425
"전국","2019.09",99.794
"전국","2019.10",100.041
"전국","2019.11",99.481
"전국","2019.12",99.719
"전국","2020.01",100.09
"전국","2020.02",100.16
"전국","2020.03",99.94
"전국","2020.04",99.50
"전국","2020.05",99.44
"전국","2020.06",99.71
"전국","2020.07",99.63
"전국","2020.08",100.19
"전국","2020.09",100.74
"전국","2020.10",100.18
"전국","2020.11",100.09
"전국","2020.12",100.33
"전국","2021.01",101.04
"전국","2021.02",101.58
"전국","2021.03",101.84
"전국","2021.04",101.98
"전국","2021.05",102.05
"전국","2021.06",102.05
"전국","2021.07",102.26
"전국","2021.08",102.75
"전국","2021.09",103.17
"전국","2021.10",103.35
"전국","2021.11",103.87
"전국","2021.12",104.04
"전국","2022.01",104.69
"전국","2022.02",105.30
"전국","2022.03",106.06
"전국","2022.04",106.85
"전국","2022.05",107.56
"전국","2022.06",108.22
